symbol;timeframe;open_time;open_price;high_price;low_price;close_price;volume;close_time;EMA;
BTCUSDT;1h;2017-11-21 22:00:00+00:00;816866000000;817651000000;807498000000;807503000000;17025210400;2017-11-21 22:59:59.999000+00:00;8197686092699780,000000000000000;
BTCUSDT;1h;2017-11-21 23:00:00+00:00;807504000000;818999000000;807003000000;811951000000;8874384700;2017-11-21 23:59:59.999000+00:00;8185659001515200,000000000000000;
BTCUSDT;1h;2017-11-22 00:00:00+00:00;809109000000;820281000000;809109000000;819500000000;11142384000;2017-11-22 00:59:59.999000+00:00;8187096078205170,000000000000000;
BTCUSDT;1h;2017-11-22 01:00:00+00:00;819500000000;821115000000;812815000000;817500000000;17475645500;2017-11-22 01:59:59.999000+00:00;8185235143096680,000000000000000;
BTCUSDT;1h;2017-11-22 02:00:00+00:00;817498000000;820105000000;813501000000;817429000000;11260678600;2017-11-22 02:59:59.999000+00:00;8183551274927960,000000000000000;
BTCUSDT;1h;2017-11-22 03:00:00+00:00;817428000000;822130000000;815001000000;818989000000;9008237100;2017-11-22 03:59:59.999000+00:00;8184526463400580,000000000000000;
BTCUSDT;1h;2017-11-22 04:00:00+00:00;817204000000;821072000000;813001000000;817528000000;11664224600;2017-11-22 04:59:59.999000+00:00;8183103930569720,000000000000000;
BTCUSDT;1h;2017-11-22 05:00:00+00:00;817536000000;820700000000;816660000000;818770000000;22072918500;2017-11-22 05:59:59.999000+00:00;8183811018174380,000000000000000;
BTCUSDT;1h;2017-11-22 06:00:00+00:00;818769000000;821571000000;815519000000;821549000000;11560413500;2017-11-22 06:59:59.999000+00:00;8188684707686010,000000000000000;
BTCUSDT;1h;2017-11-22 07:00:00+00:00;821547000000;828994000000;821500000000;828988000000;22720791200;2017-11-22 07:59:59.999000+00:00;8204253214195850,000000000000000;
BTCUSDT;1h;2017-11-22 08:00:00+00:00;828989000000;831800000000;827106000000;830413000000;22473798200;2017-11-22 08:59:59.999000+00:00;8219618873550340,000000000000000;
BTCUSDT;1h;2017-11-22 09:00:00+00:00;831699000000;832268000000;825002000000;827101000000;16177034200;2017-11-22 09:59:59.999000+00:00;8227525200696440,000000000000000;
BTCUSDT;1h;2017-11-22 10:00:00+00:00;827002000000;831483000000;826003000000;830942000000;21125762900;2017-11-22 10:59:59.999000+00:00;8240124400589290,000000000000000;
BTCUSDT;1h;2017-11-22 11:00:00+00:00;830942000000;831900000000;824877000000;827002000000;17551682800;2017-11-22 11:59:59.999000+00:00;824472372357556,000000000000000;
BTCUSDT;1h;2017-11-22 12:00:00+00:00;827012000000;829000000000;821050000000;825001000000;20644844100;2017-11-22 12:59:59.999000+00:00;8245536996871620,000000000000000;
BTCUSDT;1h;2017-11-22 13:00:00+00:00;824000000000;825997000000;813001000000;815022000000;20374061500;2017-11-22 13:59:59.999000+00:00;8230872843506760,000000000000000;
BTCUSDT;1h;2017-11-22 14:00:00+00:00;816900000000;824036000000;810800000000;820692000000;19826444600;2017-11-22 14:59:59.999000+00:00;8227187790659560,000000000000000;
BTCUSDT;1h;2017-11-22 15:00:00+00:00;820105000000;824899000000;818810000000;820502000000;13227586700;2017-11-22 15:59:59.999000+00:00;8223777361327320,000000000000000;
BTCUSDT;1h;2017-11-22 16:00:00+00:00;820054000000;824014000000;817068000000;818611000000;11693798800;2017-11-22 16:59:59.999000+00:00;8217982382661580,000000000000000;
BTCUSDT;1h;2017-11-22 17:00:00+00:00;820692000000;822000000000;813800000000;815974000000;6735708200;2017-11-22 17:59:59.999000+00:00;8209022016098260,000000000000000;
BTCUSDT;1h;2017-11-22 18:00:00+00:00;815001000000;815600000000;811000000000;814702000000;11032538800;2017-11-22 18:59:59.999000+00:00;819948324439084,000000000000000;
BTCUSDT;1h;2017-11-22 19:00:00+00:00;815000000000;820146000000;814021000000;819998000000;8302258200;2017-11-22 19:59:59.999000+00:00;819955966833071,000000000000000;
BTCUSDT;1h;2017-11-22 20:00:00+00:00;819999000000;821400000000;815862000000;818935000000;18449971700;2017-11-22 20:59:59.999000+00:00;8197988950125980,000000000000000;
BTCUSDT;1h;2017-11-22 21:00:00+00:00;818934000000;821399000000;815480000000;817615000000;9950272500;2017-11-22 21:59:59.999000+00:00;8194629111645060,000000000000000;
BTCUSDT;1h;2017-11-22 22:00:00+00:00;817659000000;823999000000;810800000000;823982000000;10297307000;2017-11-22 22:59:59.999000+00:00;8201581556007360,000000000000000;
BTCUSDT;1h;2017-11-22 23:00:00+00:00;822984000000;825873000000;820000000000;820592000000;9732207800;2017-11-22 23:59:59.999000+00:00;8202249008929300,000000000000000;
BTCUSDT;1h;2017-11-23 00:00:00+00:00;823303000000;825865000000;813843000000;820800000000;13157135900;2017-11-23 00:59:59.999000+00:00;8203133776786330,000000000000000;
BTCUSDT;1h;2017-11-23 01:00:00+00:00;820802000000;821983000000;815004000000;817310000000;17386804000;2017-11-23 01:59:59.999000+00:00;8198513195742280,000000000000000;
BTCUSDT;1h;2017-11-23 02:00:00+00:00;816299000000;820477000000;816299000000;819553000000;7975674500;2017-11-23 02:59:59.999000+00:00;8198054242551160,000000000000000;
BTCUSDT;1h;2017-11-23 03:00:00+00:00;819553000000;820000000000;815520000000;818173000000;19528563400;2017-11-23 03:59:59.999000+00:00;8195542820620210,000000000000000;
BTCUSDT;1h;2017-11-23 04:00:00+00:00;818175000000;820000000000;814220000000;819995000000;11647085000;2017-11-23 04:59:59.999000+00:00;8196220848217100,000000000000000;
BTCUSDT;1h;2017-11-23 05:00:00+00:00;819300000000;824599000000;819300000000;823798000000;17361316800;2017-11-23 05:59:59.999000+00:00;820264533310678,000000000000000;
BTCUSDT;1h;2017-11-23 06:00:00+00:00;823798000000;824500000000;820711000000;824496000000;17344530700;2017-11-23 06:59:59.999000+00:00;8209155281859580,000000000000000;
BTCUSDT;1h;2017-11-23 07:00:00+00:00;824495000000;826000000000;813000000000;814000000000;20746636100;2017-11-23 07:59:59.999000+00:00;819851600772734,000000000000000;
BTCUSDT;1h;2017-11-23 08:00:00+00:00;813998000000;818007000000;808101000000;813000000000;17685628800;2017-11-23 08:59:59.999000+00:00;8187975083461590,000000000000000;
BTCUSDT;1h;2017-11-23 09:00:00+00:00;813040000000;818000000000;813040000000;815388000000;15571215000;2017-11-23 09:59:59.999000+00:00;8182729686005960,000000000000000;
BTCUSDT;1h;2017-11-23 10:00:00+00:00;815387000000;815998000000;805000000000;811345000000;30053286400;2017-11-23 10:59:59.999000+00:00;81720712727742700,000000000000000;
BTCUSDT;1h;2017-11-23 11:00:00+00:00;807200000000;811344000000;803101000000;809997000000;16324998300;2017-11-23 11:59:59.999000+00:00;8160978769270540,000000000000000;
BTCUSDT;1h;2017-11-23 12:00:00+00:00;809995000000;814500000000;807243000000;813981000000;15802482400;2017-11-23 12:59:59.999000+00:00;8157722035536610,000000000000000;
BTCUSDT;1h;2017-11-23 13:00:00+00:00;813983000000;819735000000;813000000000;816495000000;37824548100;2017-11-23 13:59:59.999000+00:00;8158834030069440,000000000000000;
BTCUSDT;1h;2017-11-23 14:00:00+00:00;815500000000;816596000000;810789000000;816500000000;15512281800;2017-11-23 14:59:59.999000+00:00;8159782640827980,000000000000000;
BTCUSDT;1h;2017-11-23 15:00:00+00:00;816500000000;818500000000;812793000000;816812000000;16227209000;2017-11-23 15:59:59.999000+00:00;8161065311469830,000000000000000;
BTCUSDT;1h;2017-11-23 16:00:00+00:00;816731000000;820000000000;814777000000;817611000000;22897419000;2017-11-23 16:59:59.999000+00:00;8163379878936010,000000000000000;
